[2021-01-27 10:38:58,792][INFO][saldo inicial em xrp: 8792.6082]
[2021-01-27 10:39:00,587][INFO][saldo inicial em bch: 4.0585]
[2021-01-27 10:39:00,588][INFO][saldo inicial em reais: 19768.71]
[2021-01-27 10:44:37,921][INFO][saldo inicial em xrp: 8792.6082]
[2021-01-27 10:44:39,799][INFO][saldo inicial em bch: 4.0585]
[2021-01-27 10:44:39,799][INFO][saldo inicial em reais: 19768.71]
[2021-01-27 10:48:49,542][INFO][saldo inicial em xrp: 8792.6082]
[2021-01-27 10:48:51,016][INFO][saldo inicial em bch: 4.0585]
[2021-01-27 10:48:51,017][INFO][saldo inicial em reais: 19768.71]
[2021-01-27 10:51:46,205][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:51:46,469][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:51:46,505][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:51:47,455][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:51:47,916][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:51:48,196][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:52:32,264][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:52:32,527][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:52:32,543][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:52:33,229][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:52:33,628][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:52:34,247][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:55:33,160][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:55:33,441][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:55:33,457][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:55:34,081][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:55:34,445][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:55:35,046][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:57:20,266][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:57:20,595][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:57:20,614][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:21,563][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:57:21,933][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:23,636][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:57:23,636][WARNING][saldo inicial em xrp: 8792.6082]
[2021-01-27 10:57:23,652][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:57:23,984][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:57:24,000][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:25,058][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 10:57:25,657][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:25,872][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:57:25,881][WARNING][saldo inicial em bch: 4.0585]
[2021-01-27 10:57:25,881][WARNING][saldo inicial em reais: 19768.71]
[2021-01-27 10:57:25,893][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:57:26,121][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:57:26,127][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:26,805][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:57:27,247][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:27,463][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:57:27,463][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:57:27,695][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:57:27,710][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:28,265][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:57:28,280][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:28,497][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:57:28,835][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:57:29,051][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:57:29,067][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:30,061][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:57:30,088][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:30,392][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:57:45,818][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:57:46,156][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:57:46,172][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:46,958][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 10:57:47,359][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:47,960][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:57:47,983][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:57:48,308][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:57:48,341][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:48,939][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 10:57:48,964][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:49,196][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:57:49,530][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:49,768][DEBUG][https://brasilbitcoin.com.br:443 "POST /api/create_order HTTP/1.1" 200 None]
[2021-01-27 10:57:49,783][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:57:50,153][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:57:50,169][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:50,768][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 10:57:50,800][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:57:51,044][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:58:06,420][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:58:06,636][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:58:06,667][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:07,274][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:58:07,662][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:07,887][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:58:07,910][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:58:08,139][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:58:08,163][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:08,781][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:58:08,801][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:09,015][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:58:09,451][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:58:09,720][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:58:09,826][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:10,504][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 10:58:10,541][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:10,803][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:58:26,252][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:58:26,591][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:58:26,622][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:27,188][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 10:58:27,526][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:27,742][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:58:27,758][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:27,958][DEBUG][https://brasilbitcoin.com.br:443 "GET /api/check_order/6667835 HTTP/1.1" 200 None]
[2021-01-27 10:58:27,989][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:28,197][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 10:58:28,545][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 10:58:28,893][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 10:58:28,899][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:29,617][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 10:58:29,633][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 10:58:29,849][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:04:00,632][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:04:27,703][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:04:27,982][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 11:04:27,988][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:28,953][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 11:04:29,327][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:29,546][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:04:29,546][INFO][saldo inicial em xrp: 8792.6082]
[2021-01-27 11:04:29,563][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:04:29,924][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 11:04:29,939][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:30,525][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 11:04:31,095][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:31,296][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:04:31,312][INFO][saldo inicial em bch: 4.0585]
[2021-01-27 11:04:31,312][INFO][saldo inicial em reais: 19768.71]
[2021-01-27 11:04:31,325][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:04:31,628][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 11:04:31,644][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:32,219][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 11:04:32,546][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:34,306][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:04:34,313][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:04:34,545][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 11:04:34,560][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:35,447][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 11:04:35,463][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:36,134][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:04:36,535][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:36,783][DEBUG][https://brasilbitcoin.com.br:443 "POST /api/create_order HTTP/1.1" 200 None]
[2021-01-27 11:04:36,798][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:04:37,021][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 11:04:37,037][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:37,838][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 11:04:37,854][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:38,086][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:04:53,478][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:04:53,902][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 11:04:53,930][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:54,551][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 11:04:54,968][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:55,200][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:04:55,215][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:04:55,619][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 11:04:55,650][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:56,183][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 11:04:56,199][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:56,421][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:04:56,854][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:57,070][DEBUG][https://brasilbitcoin.com.br:443 "POST /api/create_order HTTP/1.1" 200 None]
[2021-01-27 11:04:57,086][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:04:57,455][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/bch/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 11:04:57,487][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:58,442][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/bch HTTP/1.1" 200 None]
[2021-01-27 11:04:58,474][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:04:58,690][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:05:14,092][DEBUG][Starting new HTTPS connection (1): www.mercadobitcoin.net:443]
[2021-01-27 11:05:14,328][DEBUG][https://www.mercadobitcoin.net:443 "GET /api/xrp/orderbook/ HTTP/1.1" 200 None]
[2021-01-27 11:05:14,350][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:05:14,986][DEBUG][https://brasilbitcoin.com.br:443 "GET /API/orderbook/xrp HTTP/1.1" 200 None]
[2021-01-27 11:05:15,398][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:05:15,642][DEBUG][https://brasilbitcoin.com.br:443 "GET //api/get_balance HTTP/1.1" 200 None]
[2021-01-27 11:05:15,662][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
[2021-01-27 11:05:15,902][DEBUG][https://brasilbitcoin.com.br:443 "GET /api/check_order/6668042 HTTP/1.1" 200 None]
[2021-01-27 11:05:15,922][DEBUG][Starting new HTTPS connection (1): brasilbitcoin.com.br:443]
